state,funding_2012,funding_2013,funding_2014,funding_2015,funding_2016
ALABAMA,191000,191000,191000,190000,190000
ALASKA,80000,80000,70000,0,0
ARIZONA,150000,145000,133000,94000,88000
ARKANSAS,0,0,0,0,0
CALIFORNIA,5287500,5496500,5325000,5368410,4298828
COLORADO,80000,80000,80000,0,0
CONNECTICUT,30000,38000,38000,55000,44000
DELAWARE,8500,8500,8500,12000,12000
FLORIDA,500000,535490,500000,375000,300000
GEORGIA,551500,575000,620000,875000,769600
HAWAII,700000,693000,693000,563363,450690
IDAHO,105000,130000,280000,325000,260000
ILLINOIS,175000,170000,165000,170000,100000
INDIANA,450000,465000,480000,510000,408000
IOWA,10000,10000,5000,12000,12000
KANSAS,100000,96000,96000,147000,117600
KENTUCKY,1250000,1400000,1745000,1950100,1758050
LOUISIANA,65000,85000,105000,130000,100000
MAINE,35000,35000,27000,30000,26200
MARYLAND,95000,105000,120000,135000,108000
MASSACHUSETTS,60000,60000,60000,75000,60000
MICHIGAN,425000,400000,400000,455000,364000
MINNESOTA,95000,75000,75000,50000,40000
MISSISSIPPI,35000,49000,84000,70000,71000
MISSOURI,50000,45000,47000,93000,75000
MONTANA,20000,20000,20000,20000,20000
NEBRASKA,42500,68000,76000,72000,72000
NEVADA,192500,165500,150000,165500,147000
NEW HAMPSHIRE,20000,40000,40000,20000,37500
NEW JERSEY,20000,20000,20000,15000,15000
NEW MEXICO,7500,7500,6000,6000,6000
NEW YORK,217000,237000,259000,356000,266000
NORTH CAROLINA,375000,350000,290000,300000,240000
NORTH DAKOTA,0,0,0,0,0
OHIO,500000,500000,489500,515000,412000
OKLAHOMA,325000,260000,335000,398000,352400
OREGON,725000,1200000,1000000,762000,200000
PENNSYLVANIA,150000,150000,150000,125000,100000
RHODE ISLAND,0,0,0,0,0
"SAN JUAN, PR",0,160000,132000,90000,0
SOUTH CAROLINA,150000,150000,175000,135727,108581
SOUTH DAKOTA,0,0,0,0,0
TENNESSEE,800000,750000,805000,850000,715000
TEXAS,300000,487000,545000,616000,541750
UTAH,225000,190000,150000,73000,58400
VERMONT,34000,31000,24000,15000,0
VIRGINIA,220000,210000,200000,156000,124800
WASHINGTON,1500000,1200000,1050000,950000,760000
WEST VIRGINIA,450000,480000,555000,565000,452000
WISCONSIN,270000,245000,200000,110000,88000
WYOMING,1500,0,0,0,0
